,Player,Playtype,# Seasons,Season,Avg. GP,Avg. # Poss,Avg. Freq,Avg. PPP,Avg. Pts,Avg. EFG%,Avg. FT Freq,Avg. TOV Freq,Avg. SF Freq,Avg. Score Freq,Avg. Percentile
0,Ish Wainright,transition,1,Playoffs,6.0,0.3,20.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
1,James Jones,transition,1,Playoffs,12.0,0.2,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Michael Beasley,transition,1,Playoffs,5.0,0.4,3.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Noah Vonleh,transition,1,Playoffs,4.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Joel Bolomboy,transition,1,Playoffs,2.0,0.0,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Steve Blake,transition,1,Playoffs,4.0,0.5,18.2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
6,Troy Williams,transition,1,Playoffs,5.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Xavier Munford,transition,1,Playoffs,4.0,0.8,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,J.J. Barea,transition,1,Playoffs,4.0,0.8,6.5,0.0,0.0,0.0,0.0,66.7,0.0,0.0,0.0
9,Denzel Valentine,transition,1,Playoffs,4.0,1.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
10,Andrew Goudelock,transition,1,Playoffs,2.0,1.0,22.2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
11,Pablo Prigioni,transition,1,Playoffs,5.0,0.2,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Sam Dekker,transition,1,Playoffs,4.0,0.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Jordan Farmar,transition,1,Playoffs,4.0,1.3,11.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Nazr Mohammed,transition,1,Playoffs,5.0,0.2,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Timofey Mozgov,transition,1,Playoffs,13.0,0.1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Nick Collison,transition,1,Playoffs,9.0,0.1,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Anthony Tolliver,transition,1,Playoffs,3.0,0.3,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Kyle Singler,transition,1,Playoffs,6.0,0.2,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Brandan Wright,transition,1,Playoffs,2.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Joffrey Lauvergne,transition,1,Playoffs,3.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Lamar Patterson,transition,1,Playoffs,4.0,0.3,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Cole Aldrich,transition,1,Playoffs,6.0,0.2,5.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
23,Spencer Hawes,transition,1,Playoffs,5.0,0.2,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Dorell Wright,transition,1,Playoffs,5.0,0.2,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Jared Sullinger,transition,1,Playoffs,6.0,0.2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,Norris Cole,transition,1,Playoffs,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,John Henson,transition,1,Playoffs,3.0,0.3,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,Anthony Gill,transition,1,Playoffs,4.0,0.3,16.7,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
29,Tremont Waters,transition,1,Playoffs,3.0,0.3,14.3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
30,Nicolo Melli,transition,1,Playoffs,3.0,0.3,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,Sam Merrill,transition,1,Playoffs,8.0,0.3,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,Isaac Bonga,transition,1,Playoffs,5.0,0.2,12.5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
33,DeAndre Liggins,transition,1,Playoffs,3.0,0.3,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,Wade Baldwin IV,transition,1,Playoffs,4.0,0.8,37.5,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
35,Julius Randle,transition,1,Playoffs,5.0,1.4,5.3,0.0,0.0,0.0,0.0,42.9,0.0,0.0,0.0
36,Justin Jackson,transition,1,Playoffs,5.0,0.2,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Garrison Mathews,transition,1,Playoffs,5.0,0.2,9.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Mamadi Diakite,transition,1,Playoffs,7.0,0.1,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,Kris Dunn,transition,1,Playoffs,5.0,0.4,18.2,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
40,Mike James,transition,1,Playoffs,9.0,0.2,4.3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
41,Nassir Little,transition,1,Playoffs,3.0,0.3,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,Josh Huestis,transition,1,Playoffs,4.0,0.3,33.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,Armoni Brooks,transition,1,Playoffs,4.0,0.3,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,Marquese Chriss,transition,1,Playoffs,5.0,0.2,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,Eric Paschall,transition,1,Playoffs,4.0,0.3,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,Luca Vildoza,transition,1,Playoffs,6.0,0.2,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,Yuta Watanabe,transition,1,Playoffs,4.0,0.3,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,Jared Butler,transition,1,Playoffs,1.0,1.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,Jalen Johnson,transition,1,Playoffs,2.0,0.5,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,Jonathan Isaac,transition,1,Playoffs,5.0,0.8,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
