,Player,Playtype,# Seasons,Season,Avg. GP,Avg. # Poss,Avg. Freq,Avg. PPP,Avg. Pts,Avg. EFG%,Avg. FT Freq,Avg. TOV Freq,Avg. SF Freq,Avg. Score Freq,Avg. Percentile
0,Jay Scrubb,transition,1,Regular Season,4.0,3.0,26.7,0.42,1.3,18.0,8.3,8.3,8.3,16.7,0.0
1,Steve Blake,transition,1,Regular Season,58.0,0.5,8.5,0.43,0.2,31.0,3.6,32.1,3.6,17.9,0.0
2,Kendall Marshall,transition,1,Regular Season,30.0,0.5,8.4,0.43,0.2,28.0,7.1,35.7,7.1,14.3,0.0
3,Jaylen Adams,transition,1,Regular Season,33.0,0.8,19.0,0.46,0.4,38.0,0.0,38.5,0.0,19.2,0.0
4,Myke Henry,transition,1,Regular Season,20.0,1.2,18.2,0.54,0.7,34.0,8.3,25.0,4.2,29.2,1.0
5,James Anderson,transition,1,Regular Season,51.0,1.2,26.5,0.58,0.7,35.0,4.8,22.6,3.2,29.0,1.0
6,Milos Teodosic,transition,1,Regular Season,45.0,1.1,10.5,0.58,0.6,48.0,4.0,42.0,0.0,24.0,2.0
7,Josh Hall,transition,1,Regular Season,21.0,1.2,18.2,0.58,0.7,33.0,23.1,30.8,23.1,34.6,1.0
8,Greivis Vasquez,transition,1,Regular Season,23.0,0.7,9.0,0.59,0.4,27.0,17.6,29.4,17.6,23.5,2.0
9,Keljin Blevins,transition,1,Regular Season,31.0,0.9,21.8,0.59,0.5,35.0,3.4,17.2,0.0,24.1,1.0
10,Joe Young,transition,1,Regular Season,53.0,0.8,18.8,0.6,0.5,30.0,11.9,19.0,7.1,31.0,2.0
11,Bryce Dejean-Jones,transition,1,Regular Season,14.0,1.1,18.0,0.63,0.7,40.0,12.5,25.0,12.5,25.0,2.0
12,Briante Weber,transition,2,Regular Season,9.0,1.5,25.95,0.62,0.95,33.0,4.5,9.6,0.0,33.2,2.0
13,Travis Wear,transition,1,Regular Season,17.0,1.0,20.7,0.65,0.6,30.0,5.9,5.9,0.0,29.4,3.0
14,Anthony Lamb,transition,1,Regular Season,24.0,0.8,13.5,0.65,0.5,33.0,15.0,25.0,15.0,30.0,2.0
15,Xavier Munford,transition,1,Regular Season,14.0,1.2,17.5,0.65,0.8,39.0,11.8,17.6,11.8,29.4,3.0
16,Charlie Brown Jr.,transition,1,Regular Season,9.0,1.7,28.3,0.67,1.1,20.0,20.0,13.3,20.0,33.3,2.0
17,Metta World Peace,transition,1,Regular Season,35.0,0.5,8.7,0.68,0.4,35.0,5.3,5.3,5.3,31.6,3.0
18,Leandro Bolmaro,transition,1,Regular Season,15.0,0.7,23.8,0.7,0.5,29.0,20.0,20.0,10.0,30.0,5.0
19,Tony Wroten,transition,1,Regular Season,8.0,3.5,25.0,0.71,2.5,50.0,14.3,28.6,10.7,39.3,4.0
20,Kostas Papanikolaou,transition,1,Regular Season,26.0,0.4,11.8,0.73,0.3,50.0,0.0,27.3,0.0,36.4,5.0
21,Semaj Christon,transition,1,Regular Season,64.0,0.5,10.7,0.73,0.3,48.0,16.7,20.0,13.3,36.7,5.0
22,Marcelo Huertas,transition,2,Regular Season,38.0,0.65,12.75,0.69,0.4,44.0,2.2,26.1,1.1,32.95,3.0
23,Drew Gooden,transition,1,Regular Season,30.0,0.4,9.1,0.73,0.3,40.0,0.0,9.1,0.0,27.3,5.0
24,Wade Baldwin IV,transition,1,Regular Season,33.0,1.0,19.3,0.73,0.7,38.0,15.2,21.2,9.1,39.4,4.0
25,Daishen Nix,transition,1,Regular Season,24.0,1.1,25.5,0.74,0.8,54.0,18.5,37.0,18.5,37.0,4.0
26,Mason Jones,transition,1,Regular Season,26.0,1.2,18.6,0.74,0.9,44.0,22.6,25.8,19.4,38.7,5.0
27,Sonny Weems,transition,1,Regular Season,37.0,0.5,14.4,0.74,0.4,58.0,0.0,36.8,0.0,31.6,6.0
28,Jawun Evans,transition,1,Regular Season,48.0,1.4,20.9,0.75,1.0,38.0,13.4,16.4,11.9,35.8,6.0
29,Jose Alvarado,transition,1,Regular Season,54.0,1.0,15.4,0.76,0.8,43.0,7.3,14.5,5.5,36.4,6.0
30,Chris McCullough,transition,1,Regular Season,25.0,0.7,13.2,0.78,0.6,50.0,0.0,22.2,0.0,38.9,7.0
31,Cade Cunningham,transition,1,Regular Season,64.0,3.0,14.5,0.79,2.4,52.0,6.2,26.3,3.6,37.6,7.0
32,Josh Smith,transition,2,Regular Season,28.0,1.1,13.1,0.79,0.85,50.0,11.6,26.2,10.1,36.35,8.0
33,Joshua Primo,transition,1,Regular Season,50.0,1.5,21.2,0.8,1.2,43.0,13.3,14.7,10.7,41.3,7.0
34,Sasha Vujacic,transition,1,Regular Season,61.0,0.8,14.8,0.8,0.7,45.0,4.0,14.0,2.0,32.0,9.0
35,Luka Samanic,transition,1,Regular Season,14.0,0.7,15.4,0.8,1.0,60.0,30.0,20.0,30.0,50.0,8.0
36,Ray McCallum,transition,1,Regular Season,10.0,1.6,17.0,0.81,1.3,46.0,0.0,12.5,0.0,37.5,10.0
37,Justin Robinson,transition,1,Regular Season,17.0,0.6,16.2,0.82,0.5,45.0,0.0,9.1,0.0,36.4,8.0
38,Jarrett Jack,transition,2,Regular Season,47.0,1.5,12.4,0.76,1.15,47.0,8.9,25.1,8.0,35.9,7.0
39,Alperen Sengun,transition,1,Regular Season,72.0,0.7,6.4,0.82,0.6,50.0,14.0,28.0,12.0,42.0,8.0
40,Killian Hayes,transition,2,Regular Season,46.0,1.45,14.95,0.66,1.05,46.0,8.4,34.0,5.6,32.3,5.0
41,Jaron Blossomgame,transition,1,Regular Season,27.0,0.7,14.6,0.83,0.6,46.0,5.6,16.7,5.6,38.9,9.0
42,Amar'e Stoudemire,transition,1,Regular Season,52.0,0.2,4.0,0.83,0.2,44.0,8.3,16.7,8.3,41.7,10.0
43,Dalano Banton,transition,1,Regular Season,64.0,1.0,22.9,0.84,0.8,50.0,17.5,15.9,15.9,46.0,9.0
