,PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE,Year,Playtype
0,David Lee,DAL,2.0,2.5,62.5,1.6,4.0,2.0,2.5,80.0,80.0,0.0,0.0,0.0,0.0,80.0,0.0,2015-16,cut
1,Ian Mahinmi,IND,7.0,3.6,36.8,1.12,4.0,1.6,2.9,55.0,55.0,24.0,0.0,24.0,4.0,60.0,43.2,2015-16,cut
2,Dwight Howard,HOU,5.0,2.8,17.7,1.36,3.8,1.8,2.4,75.0,75.0,14.3,7.1,14.3,7.1,64.3,77.3,2015-16,cut
3,Steven Adams,OKC,18.0,2.2,24.5,1.48,3.3,1.4,1.9,74.3,74.3,15.0,0.0,15.0,2.5,77.5,90.9,2015-16,cut
4,Zaza Pachulia,DAL,5.0,2.0,28.6,1.4,2.8,1.0,1.6,62.5,62.5,20.0,0.0,20.0,0.0,70.0,86.0,2015-16,cut
5,LeBron James,CLE,21.0,1.8,6.8,1.51,2.7,1.3,1.6,79.4,79.4,5.4,0.0,8.1,0.0,75.7,97.7,2015-16,cut
6,Tyler Zeller,BOS,3.0,1.3,20.0,2.0,2.7,1.0,1.0,100.0,100.0,25.0,0.0,25.0,0.0,100.0,0.0,2015-16,cut
7,Maurice Harkless,POR,11.0,2.2,18.0,1.21,2.6,1.2,1.6,72.2,72.2,16.7,12.5,16.7,4.2,62.5,56.8,2015-16,cut
8,Hassan Whiteside,MIA,10.0,1.8,18.0,1.39,2.5,0.9,1.2,75.0,75.0,44.4,5.6,44.4,16.7,72.2,81.8,2015-16,cut
9,Klay Thompson,GSW,24.0,1.9,8.5,1.3,2.5,1.0,1.4,69.7,69.7,19.6,10.9,17.4,2.2,67.4,67.4,2015-16,cut
10,Andre Drummond,DET,4.0,2.0,11.6,1.25,2.5,1.3,1.8,71.4,71.4,12.5,12.5,12.5,12.5,62.5,0.0,2015-16,cut
11,Andrew Bogut,GSW,22.0,1.8,38.8,1.35,2.5,1.2,1.7,71.1,71.1,0.0,5.0,0.0,0.0,67.5,75.0,2015-16,cut
12,Kent Bazemore,ATL,10.0,1.6,11.3,1.5,2.4,1.2,1.5,80.0,80.0,0.0,6.3,0.0,0.0,75.0,95.3,2015-16,cut
13,Paul Millsap,ATL,10.0,2.3,12.3,1.04,2.4,0.9,1.7,52.9,52.9,17.4,8.7,17.4,0.0,56.5,29.5,2015-16,cut
14,Myles Turner,IND,7.0,2.1,17.2,1.13,2.4,1.1,1.9,61.5,61.5,6.7,13.3,6.7,6.7,53.3,45.5,2015-16,cut
15,DeAndre Jordan,LAC,6.0,2.3,20.0,1.0,2.3,1.0,1.7,60.0,60.0,14.3,14.3,14.3,0.0,57.1,13.2,2015-16,cut
16,Salah Mejri,DAL,4.0,1.8,43.8,1.29,2.3,0.8,1.0,75.0,75.0,42.9,0.0,42.9,0.0,71.4,0.0,2015-16,cut
