,PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE,Year,Playtype
0,Chris Paul,LAC,4.0,1.5,6.9,1.5,2.3,1.0,1.5,66.7,75.0,0.0,0.0,0.0,0.0,66.7,0.0,2015-16,hand-off
1,JJ Redick,LAC,6.0,3.7,25.9,0.64,2.3,1.2,3.5,33.3,33.3,0.0,4.5,0.0,0.0,31.8,29.4,2015-16,hand-off
2,Nicolas Batum,CHA,5.0,2.0,16.4,1.1,2.2,0.4,0.8,50.0,50.0,30.0,30.0,30.0,0.0,50.0,76.5,2015-16,hand-off
3,Isaiah Thomas,BOS,6.0,2.2,8.6,1.0,2.2,0.5,1.5,33.3,33.3,38.0,7.7,38.0,15.0,46.2,64.7,2015-16,hand-off
4,CJ McCollum,POR,11.0,1.1,5.0,1.33,1.5,0.5,1.0,54.5,63.6,8.0,0.0,8.0,0.0,58.3,93.8,2015-16,hand-off
5,Klay Thompson,GSW,24.0,1.2,5.2,1.21,1.4,0.5,1.0,56.5,73.9,0.0,17.9,0.0,0.0,46.4,82.4,2015-16,hand-off
6,Stephen Curry,GSW,18.0,0.9,3.9,1.47,1.4,0.4,0.8,53.3,76.7,6.0,5.9,6.0,0.0,52.9,100.0,2015-16,hand-off
7,Lance Stephenson,MEM,4.0,1.3,10.2,1.0,1.3,0.5,1.3,40.0,50.0,20.0,0.0,20.0,20.0,40.0,0.0,2015-16,hand-off
8,Jeremy Lin,CHA,7.0,1.1,8.8,1.13,1.3,0.4,0.9,50.0,58.3,25.0,12.5,25.0,12.0,50.0,0.0,2015-16,hand-off
9,Raymond Felton,DAL,5.0,2.0,11.6,0.6,1.2,0.6,1.8,33.3,33.3,0.0,10.0,0.0,0.0,30.0,23.5,2015-16,hand-off
10,Allen Crabbe,POR,11.0,0.7,9.2,1.5,1.1,0.5,0.6,71.4,71.4,25.0,0.0,25.0,12.0,75.0,0.0,2015-16,hand-off
11,Kyle Lowry,TOR,20.0,1.5,6.8,0.73,1.1,0.5,1.1,43.5,47.8,0.0,23.3,0.0,0.0,33.3,41.2,2015-16,hand-off
