,PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE,Year,Playtype
0,James Harden,HOU,5.0,6.4,22.2,1.16,7.4,2.0,4.0,50.0,55.0,28.1,9.4,28.1,0.0,59.4,97.3,2015-16,isolation
1,Russell Westbrook,OKC,18.0,6.3,21.1,0.93,5.8,2.4,5.4,44.3,49.0,5.3,7.1,7.1,0.0,43.4,67.6,2015-16,isolation
2,LeBron James,CLE,21.0,6.0,23.3,0.94,5.7,2.2,5.1,43.5,46.8,10.2,7.9,10.2,3.1,44.1,73.0,2015-16,isolation
3,Damian Lillard,POR,11.0,6.4,22.9,0.81,5.2,1.2,4.8,24.5,29.2,18.6,5.7,14.3,0.0,37.1,35.1,2015-16,isolation
4,Stephen Curry,GSW,18.0,4.5,18.4,1.14,5.1,1.8,3.9,46.5,60.6,4.9,9.9,3.7,2.5,43.2,94.6,2015-16,isolation
5,Kyrie Irving,CLE,21.0,5.4,22.6,0.84,4.6,1.8,5.0,36.5,40.9,6.1,3.5,6.1,0.9,38.6,45.9,2015-16,isolation
6,Kevin Durant,OKC,18.0,5.3,18.0,0.75,3.9,1.3,4.2,32.0,34.7,12.6,8.4,10.5,0.0,36.8,18.9,2015-16,isolation
7,CJ McCollum,POR,11.0,3.3,15.1,1.06,3.5,1.3,2.5,50.0,51.8,16.7,8.3,16.7,2.8,52.8,83.8,2015-16,isolation
8,Zach Randolph,MEM,4.0,4.0,21.9,0.88,3.5,1.8,4.0,43.8,43.8,0.0,0.0,0.0,0.0,43.8,54.1,2015-16,isolation
9,Lance Stephenson,MEM,4.0,3.3,26.5,1.08,3.5,1.8,3.3,53.8,53.8,0.0,0.0,0.0,0.0,53.8,88.9,2015-16,isolation
10,Jamal Crawford,LAC,6.0,4.2,20.2,0.8,3.3,1.0,3.3,30.0,30.0,16.0,4.0,16.0,0.0,40.0,28.6,2015-16,isolation
11,Paul George,IND,7.0,3.3,13.1,1.0,3.3,1.1,2.6,44.4,44.4,17.4,0.0,17.4,0.0,52.2,81.1,2015-16,isolation
12,Dwyane Wade,MIA,14.0,3.1,13.4,0.93,2.9,1.2,2.6,47.2,48.6,11.6,7.0,9.3,2.3,46.5,70.3,2015-16,isolation
13,Jeff Teague,ATL,10.0,3.4,19.9,0.79,2.7,1.1,2.9,37.9,39.7,5.9,8.8,5.9,0.0,38.2,24.3,2015-16,isolation
