,PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE,Year,Playtype
0,Klay Thompson,GSW,24.0,6.8,30.2,1.07,7.3,2.6,6.3,41.1,53.6,4.9,3.7,4.9,1.2,41.1,58.3,2015-16,off-screen
1,JJ Redick,LAC,6.0,5.3,37.6,1.03,5.5,2.3,4.8,48.3,56.9,3.1,9.4,3.1,3.1,43.8,50.0,2015-16,off-screen
2,Kevin Durant,OKC,18.0,4.7,16.1,1.08,5.1,2.1,4.1,50.0,56.1,4.7,8.2,4.7,0.0,48.2,62.5,2015-16,off-screen
3,Kyle Korver,ATL,10.0,2.5,29.4,1.76,4.4,1.4,2.4,58.3,85.4,4.0,4.0,4.0,0.0,60.0,100.0,2015-16,off-screen
4,Paul George,IND,7.0,4.6,18.2,0.97,4.4,1.1,3.3,34.8,43.5,18.8,9.4,15.6,0.0,43.8,41.7,2015-16,off-screen
5,Stephen Curry,GSW,18.0,3.2,12.9,1.32,4.2,1.3,2.9,45.3,62.3,10.5,0.0,8.8,3.5,49.1,79.2,2015-16,off-screen
6,Nicolas Batum,CHA,5.0,2.6,21.3,1.54,4.0,1.2,2.2,54.5,68.2,15.4,0.0,15.4,0.0,61.5,95.8,2015-16,off-screen
7,Isaiah Thomas,BOS,6.0,2.8,11.3,1.06,3.0,1.0,2.3,42.9,50.0,17.6,11.8,17.6,11.8,41.2,54.2,2015-16,off-screen
8,Dirk Nowitzki,DAL,5.0,2.0,10.3,1.4,2.8,1.4,2.0,70.0,70.0,0.0,0.0,0.0,0.0,70.0,83.3,2015-16,off-screen
9,CJ McCollum,POR,11.0,2.6,12.1,0.9,2.4,1.0,2.5,40.7,44.4,6.9,3.4,3.4,3.4,41.4,37.5,2015-16,off-screen
10,DeMar DeRozan,TOR,20.0,2.9,11.5,0.79,2.3,1.0,2.5,40.8,40.8,7.0,10.5,7.0,3.5,38.6,20.8,2015-16,off-screen
11,Avery Bradley,BOS,1.0,4.0,22.2,0.5,2.0,1.0,4.0,25.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,2015-16,off-screen
12,JR Smith,CLE,21.0,1.4,14.4,1.43,2.0,0.7,1.4,48.3,70.7,3.3,0.0,0.0,0.0,50.0,87.5,2015-16,off-screen
13,Kentavious Caldwell-Pope,DET,4.0,1.5,10.9,1.33,2.0,0.8,1.5,50.0,58.3,16.7,0.0,16.7,16.7,50.0,0.0,2015-16,off-screen
14,Justin Anderson,DAL,5.0,1.8,18.4,1.0,1.8,0.6,1.4,42.9,50.0,11.1,11.1,11.1,0.0,44.4,0.0,2015-16,off-screen
15,Wesley Matthews,DAL,5.0,2.6,18.1,0.62,1.6,0.6,2.4,25.0,25.0,7.7,0.0,0.0,0.0,30.8,12.5,2015-16,off-screen
16,Josh Smith,HOU,4.0,0.5,10.5,3.0,1.5,0.5,0.5,100.0,150.0,0.0,0.0,0.0,0.0,100.0,0.0,2015-16,off-screen
17,PJ Hairston,MEM,2.0,0.5,12.5,3.0,1.5,0.5,0.5,100.0,150.0,0.0,0.0,0.0,0.0,100.0,0.0,2015-16,off-screen
18,Kevin Martin,SAS,5.0,1.6,29.6,0.88,1.4,0.6,1.4,42.9,50.0,0.0,12.5,0.0,0.0,37.5,0.0,2015-16,off-screen
19,Damian Lillard,POR,11.0,1.6,5.9,0.83,1.4,0.5,1.5,35.3,44.1,0.0,5.6,0.0,0.0,33.3,30.4,2015-16,off-screen
20,Kawhi Leonard,SAS,10.0,1.2,5.9,1.17,1.4,0.6,1.2,50.0,54.2,8.3,0.0,8.3,8.3,50.0,66.7,2015-16,off-screen
21,Charlie Villanueva,DAL,4.0,1.3,35.7,1.0,1.3,0.5,1.3,40.0,50.0,0.0,0.0,0.0,0.0,40.0,0.0,2015-16,off-screen
22,Terrence Ross,TOR,20.0,1.9,25.7,0.7,1.3,0.5,1.6,33.3,36.4,2.7,5.4,5.4,0.0,32.4,16.7,2015-16,off-screen
23,Tim Hardaway Jr.,ATL,9.0,0.7,19.4,1.67,1.1,0.4,0.7,66.7,83.3,0.0,0.0,0.0,0.0,66.7,0.0,2015-16,off-screen
24,LaMarcus Aldridge,SAS,10.0,1.1,5.5,1.0,1.1,0.4,0.9,44.4,44.4,9.1,9.1,9.1,0.0,45.5,45.8,2015-16,off-screen
25,Kyrie Irving,CLE,21.0,0.9,3.8,1.21,1.1,0.4,0.8,56.3,71.9,0.0,15.8,0.0,0.0,47.4,70.8,2015-16,off-screen
26,Jordan McRae,CLE,2.0,0.5,25.0,2.0,1.0,0.5,0.5,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,2015-16,off-screen
27,Jonathon Simmons,SAS,3.0,0.3,8.3,3.0,1.0,0.3,0.3,100.0,150.0,0.0,0.0,0.0,0.0,100.0,0.0,2015-16,off-screen
28,Kyle Lowry,TOR,20.0,1.3,5.7,0.8,1.0,0.3,1.1,27.3,36.4,8.0,4.0,8.0,0.0,32.0,25.0,2015-16,off-screen
29,Rodney Stuckey,IND,7.0,0.4,5.8,2.33,1.0,0.4,0.4,100.0,116.7,0.0,0.0,0.0,0.0,100.0,0.0,2015-16,off-screen
30,Wesley Johnson,LAC,6.0,0.3,11.8,3.0,1.0,0.2,0.2,100.0,150.0,50.0,0.0,50.0,0.0,100.0,0.0,2015-16,off-screen
31,Jae Crowder,BOS,6.0,1.0,7.1,1.0,1.0,0.3,1.0,33.3,50.0,0.0,0.0,0.0,0.0,33.3,0.0,2015-16,off-screen
32,Jason Terry,HOU,5.0,0.6,7.5,1.67,1.0,0.4,0.6,66.7,83.3,0.0,0.0,0.0,0.0,66.7,0.0,2015-16,off-screen
33,Allen Crabbe,POR,11.0,1.1,13.8,0.83,0.9,0.4,1.0,36.4,40.9,8.3,0.0,8.3,0.0,41.7,30.4,2015-16,off-screen
34,Danny Green,SAS,10.0,0.5,6.8,1.8,0.9,0.3,0.5,60.0,90.0,0.0,0.0,0.0,0.0,60.0,0.0,2015-16,off-screen
