,PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE,Year,Playtype
0,Klay Thompson,GSW,80.0,6.3,31.0,1.05,6.6,2.4,5.6,43.2,53.9,5.0,6.0,4.6,0.8,43.0,76.4,2015-16,off-screen
1,JJ Redick,LAC,75.0,5.4,38.7,1.12,6.1,2.3,4.9,47.4,57.8,5.0,6.0,4.7,1.2,47.0,86.2,2015-16,off-screen
2,Stephen Curry,GSW,79.0,3.6,14.2,1.2,4.3,1.5,3.1,46.7,63.6,6.0,9.0,5.3,2.1,44.0,92.3,2015-16,off-screen
3,Paul George,IND,81.0,3.8,16.0,1.01,3.9,1.3,3.1,40.6,51.2,8.0,9.0,8.4,0.6,41.0,67.1,2015-16,off-screen
4,Marco Belinelli,SAC,68.0,3.8,33.6,0.98,3.7,1.5,3.3,44.2,48.5,10.0,6.0,8.5,3.5,45.0,59.8,2015-16,off-screen
5,Kevin Durant,OKC,72.0,3.6,14.1,0.97,3.5,1.3,2.9,45.3,51.4,8.0,11.0,7.3,1.2,44.0,58.5,2015-16,off-screen
6,Nicolas Batum,CHA,70.0,2.6,16.0,1.11,2.9,1.0,2.4,42.9,55.4,4.0,5.0,4.4,1.1,43.0,85.4,2015-16,off-screen
7,Kyle Korver,ATL,80.0,2.8,31.4,1.0,2.8,1.0,2.7,38.8,52.1,1.0,5.0,0.9,0.4,37.0,64.3,2015-16,off-screen
8,DeMar DeRozan,TOR,78.0,3.2,13.6,0.84,2.7,1.1,2.7,39.9,40.6,9.0,8.0,9.2,0.8,42.0,37.4,2015-16,off-screen
9,Andrew Wiggins,MIN,81.0,3.1,14.5,0.83,2.6,1.0,2.5,42.3,42.8,13.0,11.0,12.4,3.6,42.0,34.6,2015-16,off-screen
10,Kevin Martin,MIN,39.0,2.5,22.0,1.0,2.5,0.8,2.2,37.6,45.9,10.0,2.0,9.4,1.0,43.0,64.3,2015-16,off-screen
11,Bradley Beal,WAS,55.0,2.7,15.2,0.91,2.4,1.0,2.3,41.1,48.4,6.0,8.0,5.4,1.4,41.0,47.6,2015-16,off-screen
12,Terrence Ross,TOR,73.0,2.3,23.7,1.02,2.3,0.9,2.1,43.6,51.9,3.0,4.0,3.0,1.2,43.0,68.7,2015-16,off-screen
13,CJ Miles,IND,64.0,2.2,18.7,1.01,2.3,0.8,2.0,39.2,51.6,8.0,6.0,7.0,2.1,40.0,67.5,2015-16,off-screen
14,JR Smith,CLE,77.0,2.0,16.6,1.08,2.2,0.8,1.9,42.9,55.4,2.0,4.0,1.9,0.6,42.0,80.9,2015-16,off-screen
15,Avery Bradley,BOS,76.0,2.3,14.6,0.91,2.1,0.8,2.1,39.8,46.6,2.0,5.0,2.3,0.0,39.0,48.0,2015-16,off-screen
