,PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE,Year,Playtype
0,LaMarcus Aldridge,SAS,10.0,7.5,37.7,1.07,8.0,3.2,6.2,51.6,51.6,14.7,8.0,12.0,5.3,52.0,88.2,2015-16,playtype-post-up
1,Al Jefferson,CHA,7.0,6.3,46.3,1.07,7.0,3.3,5.3,56.8,56.8,9.1,9.0,9.0,2.3,55.0,91.2,2015-16,playtype-post-up
2,Dirk Nowitzki,DAL,5.0,6.0,30.9,1.1,7.0,2.8,4.8,50.0,50.0,16.7,7.0,17.0,3.3,53.0,97.0,2015-16,playtype-post-up
3,Andre Drummond,DET,4.0,6.0,34.8,0.96,6.0,3.3,5.3,52.4,52.4,12.5,4.0,12.0,4.2,50.0,73.5,2015-16,playtype-post-up
4,Paul Millsap,ATL,10.0,3.7,19.8,0.97,4.0,1.6,2.6,46.2,46.2,24.3,11.0,19.0,5.4,49.0,76.5,2015-16,playtype-post-up
5,Blake Griffin,LAC,4.0,4.3,23.6,0.88,4.0,1.3,3.3,38.5,38.5,23.5,12.0,24.0,11.8,41.0,64.7,2015-16,playtype-post-up
6,Dwight Howard,HOU,5.0,5.2,32.9,0.77,4.0,1.0,3.0,40.0,40.0,26.9,15.0,23.0,0.0,46.0,32.4,2015-16,playtype-post-up
7,Zach Randolph,MEM,4.0,4.0,21.9,0.81,3.0,1.5,3.5,42.9,42.9,6.3,6.0,6.0,0.0,44.0,47.1,2015-16,playtype-post-up
8,Kevin Love,CLE,20.0,4.3,28.1,0.81,3.0,1.2,3.2,35.9,35.9,17.6,8.0,9.0,1.2,42.0,44.1,2015-16,playtype-post-up
9,Kevin Durant,OKC,18.0,3.0,10.2,0.82,2.0,0.6,2.6,40.4,40.4,5.6,6.0,6.0,0.0,41.0,51.5,2015-16,playtype-post-up
10,Boris Diaw,SAS,9.0,2.3,38.9,0.76,2.0,1.0,2.0,44.4,44.4,0.0,14.0,0.0,0.0,38.0,29.4,2015-16,playtype-post-up
11,Marcus Morris Sr.,DET,4.0,1.5,9.5,1.17,2.0,0.8,0.8,66.7,66.7,33.3,17.0,33.0,0.0,67.0,0.0,2015-16,playtype-post-up
