,PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE,Year,Playtype
0,Marc Gasol,MEM,52.0,7.2,40.2,0.89,6.4,2.2,5.3,41.3,41.3,18.4,12.0,14.6,3.7,44.7,66.4,2015-16,playtype-post-up
1,LaMarcus Aldridge,SAS,74.0,5.8,33.7,1.0,5.8,2.2,4.5,48.5,48.5,15.8,8.6,13.9,2.3,50.6,84.3,2015-16,playtype-post-up
2,Brook Lopez,BKN,73.0,6.1,29.8,0.95,5.8,2.2,4.4,50.6,50.6,16.3,16.1,14.1,4.7,47.5,79.4,2015-16,playtype-post-up
3,Al Jefferson,CHA,47.0,6.5,51.8,0.88,5.7,2.5,5.5,44.6,44.6,10.2,6.6,10.2,2.3,45.4,63.7,2015-16,playtype-post-up
4,DeMarcus Cousins,SAC,65.0,5.6,19.4,0.96,5.4,1.8,3.6,49.4,49.4,24.8,14.6,18.7,4.4,50.4,82.1,2015-16,playtype-post-up
5,Dirk Nowitzki,DAL,75.0,5.2,29.6,1.02,5.3,1.9,4.2,46.5,46.5,16.2,6.9,13.9,3.3,50.1,89.7,2015-16,playtype-post-up
6,Jahlil Okafor,PHI,53.0,5.9,32.0,0.85,5.1,2.1,4.5,46.9,46.9,12.1,15.9,10.2,3.8,43.2,54.7,2015-16,playtype-post-up
7,Zach Randolph,MEM,68.0,5.9,36.2,0.85,5.0,2.1,4.6,44.3,44.3,9.0,12.0,6.3,0.3,43.5,52.9,2015-16,playtype-post-up
8,Nikola Vucevic,ORL,65.0,5.4,28.3,0.93,5.0,2.2,4.4,50.2,50.2,7.8,10.6,4.0,0.6,47.7,75.8,2015-16,playtype-post-up
9,Carmelo Anthony,NYK,72.0,5.1,22.2,0.92,4.7,1.7,3.8,43.0,43.0,18.7,9.5,15.4,3.3,47.7,74.4,2015-16,playtype-post-up
10,Greg Monroe,MIL,79.0,5.2,33.8,0.86,4.4,1.8,3.9,45.3,45.3,13.3,12.8,11.3,2.5,44.5,59.6,2015-16,playtype-post-up
11,Blake Griffin,LAC,35.0,4.7,21.3,0.84,4.0,1.5,3.6,42.5,42.5,15.2,10.3,12.1,2.4,45.5,51.6,2015-16,playtype-post-up
12,Kevin Love,CLE,77.0,4.0,24.6,0.98,3.9,1.4,2.9,48.2,48.2,19.7,12.6,15.5,3.2,50.3,83.0,2015-16,playtype-post-up
13,Andre Drummond,DET,81.0,5.0,27.5,0.73,3.6,1.6,4.1,39.6,39.6,9.6,8.4,8.6,1.2,38.0,26.9,2015-16,playtype-post-up
14,Anthony Davis,NOP,61.0,4.3,18.4,0.78,3.4,1.1,3.1,35.9,35.9,16.0,11.8,11.1,1.1,40.8,36.3,2015-16,playtype-post-up
15,Dwight Howard,HOU,71.0,4.2,30.5,0.82,3.4,1.4,2.9,47.5,47.5,19.9,16.5,16.8,5.4,43.8,45.3,2015-16,playtype-post-up
16,Derrick Favors,UTA,62.0,3.7,22.6,0.86,3.2,1.3,3.0,44.3,44.3,12.1,10.4,10.0,2.6,44.6,57.7,2015-16,playtype-post-up
17,Paul Millsap,ATL,81.0,2.8,16.0,1.04,3.0,1.0,2.0,51.8,51.8,20.4,11.7,17.8,4.3,52.2,91.5,2015-16,playtype-post-up
18,Ryan Anderson,NOP,66.0,3.0,17.5,1.01,3.0,1.2,2.4,49.7,49.7,12.8,9.2,11.8,2.6,50.3,88.3,2015-16,playtype-post-up
19,Pau Gasol,CHI,72.0,3.7,20.7,0.81,3.0,1.2,2.8,40.5,40.5,13.5,13.5,11.7,4.1,40.2,43.9,2015-16,playtype-post-up
