,PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE,Year,Playtype
0,Kemba Walker,CHA,7.0,15.9,61.3,0.87,13.7,5.1,13.9,37.1,40.7,9.0,5.4,8.1,1.8,39.6,47.5,2015-16,ball-handler
1,Chris Paul,LAC,4.0,11.5,52.9,0.91,10.5,4.8,10.8,44.2,44.2,4.3,2.2,2.2,0.0,45.7,67.2,2015-16,ball-handler
2,Damian Lillard,POR,11.0,11.2,40.2,0.9,10.1,3.2,8.5,37.2,47.9,10.6,14.6,8.9,2.4,36.6,63.9,2015-16,ball-handler
3,Dwyane Wade,MIA,14.0,10.1,43.8,0.92,9.3,3.7,7.9,46.8,50.0,8.5,12.8,7.1,0.0,45.4,68.9,2015-16,ball-handler
4,DeMar DeRozan,TOR,20.0,10.0,40.2,0.87,8.7,3.4,8.2,42.1,42.1,12.0,8.0,11.0,2.0,44.0,52.5,2015-16,ball-handler
5,Kyrie Irving,CLE,21.0,8.4,34.9,0.99,8.3,3.3,7.1,46.7,50.7,8.5,8.5,8.0,2.3,46.0,85.2,2015-16,ball-handler
6,Kyle Lowry,TOR,20.0,9.5,43.3,0.85,8.1,2.9,6.8,43.4,49.6,10.0,17.9,10.5,0.5,39.5,45.9,2015-16,ball-handler
7,James Harden,HOU,5.0,9.8,34.0,0.82,8.0,2.6,7.0,37.1,44.3,10.2,18.4,12.2,2.0,34.7,42.6,2015-16,ball-handler
8,Jamal Crawford,LAC,6.0,8.2,39.5,0.9,7.3,3.3,7.7,43.5,44.6,2.0,4.1,2.0,0.0,42.9,62.3,2015-16,ball-handler
9,Goran Dragic,MIA,14.0,7.5,41.0,0.91,6.8,2.8,5.9,47.6,51.8,8.6,15.2,8.6,1.9,42.9,65.6,2015-16,ball-handler
10,Jeremy Lin,CHA,7.0,7.0,53.8,0.96,6.7,2.0,4.7,42.4,42.4,26.5,14.3,24.5,8.2,46.9,78.7,2015-16,ball-handler
11,Raymond Felton,DAL,5.0,8.0,46.5,0.8,6.4,2.8,6.2,45.2,45.2,7.5,15.0,5.0,0.0,42.5,39.3,2015-16,ball-handler
12,Reggie Jackson,DET,4.0,6.5,40.0,0.96,6.3,2.8,5.0,55.0,55.0,7.7,19.2,7.7,3.8,46.2,80.3,2015-16,ball-handler
13,Russell Westbrook,OKC,18.0,9.4,31.6,0.63,5.9,1.9,6.9,28.0,30.8,10.1,17.2,8.9,1.2,29.6,14.8,2015-16,ball-handler
14,Isaiah Thomas,BOS,6.0,6.2,24.5,0.89,5.5,2.3,5.3,43.8,45.3,5.4,8.1,5.4,0.0,43.2,60.7,2015-16,ball-handler
15,Tony Parker,SAS,10.0,6.1,50.4,0.89,5.4,2.5,5.3,47.2,47.2,6.6,11.5,4.9,4.9,42.6,57.4,2015-16,ball-handler
16,Dennis Schroder,ATL,10.0,6.9,52.7,0.78,5.4,2.3,5.1,45.1,50.0,2.9,23.2,2.9,0.0,36.2,36.1,2015-16,ball-handler
17,Austin Rivers,LAC,6.0,5.7,47.9,0.94,5.3,2.3,4.8,48.3,50.0,11.8,11.8,11.8,8.8,44.1,76.3,2015-16,ball-handler
18,Monta Ellis,IND,7.0,5.4,38.8,0.97,5.3,2.3,4.1,55.2,56.9,7.9,18.4,7.9,2.6,47.4,83.6,2015-16,ball-handler
19,Jeff Teague,ATL,10.0,6.9,40.4,0.73,5.0,1.4,4.7,29.8,33.0,14.5,18.8,10.1,1.4,33.3,27.9,2015-16,ball-handler
20,CJ McCollum,POR,11.0,7.8,36.0,0.64,5.0,1.8,6.2,29.4,31.6,9.3,12.8,9.3,1.2,30.2,16.4,2015-16,ball-handler
21,Paul George,IND,7.0,4.3,17.0,1.1,4.7,1.1,2.6,44.4,50.0,26.7,16.7,20.0,3.3,50.0,93.3,2015-16,ball-handler
22,Stephen Curry,GSW,18.0,6.7,27.2,0.7,4.7,1.7,4.5,37.0,45.1,5.8,28.3,5.8,1.7,28.3,23.7,2015-16,ball-handler
23,Kawhi Leonard,SAS,10.0,4.0,19.6,1.13,4.5,1.7,3.3,51.5,54.5,15.0,5.0,15.0,2.5,55.0,96.7,2015-16,ball-handler
24,Kentavious Caldwell-Pope,DET,4.0,4.0,29.1,1.06,4.3,1.5,3.5,42.9,53.6,6.3,6.3,6.3,0.0,43.8,88.5,2015-16,ball-handler
25,Cory Joseph,TOR,20.0,5.2,55.7,0.83,4.3,1.8,3.8,46.1,46.7,10.7,15.5,8.7,0.0,43.7,44.3,2015-16,ball-handler
26,Kevin Durant,OKC,18.0,4.6,15.7,0.87,4.0,1.3,3.3,39.0,41.5,15.7,18.1,14.5,4.8,38.6,50.8,2015-16,ball-handler
27,J.J. Barea,DAL,4.0,7.5,65.2,0.53,4.0,1.8,5.5,31.8,31.8,3.3,23.3,3.3,0.0,26.7,9.8,2015-16,ball-handler
28,Xavier Munford,MEM,4.0,4.3,51.5,0.94,4.0,2.0,3.5,57.1,57.1,0.0,17.6,0.0,0.0,47.1,76.3,2015-16,ball-handler
29,LeBron James,CLE,21.0,4.4,16.8,0.88,3.9,1.5,3.4,43.7,50.0,10.9,14.1,10.9,2.2,41.3,55.7,2015-16,ball-handler
30,Lance Stephenson,MEM,4.0,3.3,26.5,0.92,3.0,1.3,2.8,45.5,45.5,7.7,7.7,7.7,0.0,46.2,70.5,2015-16,ball-handler
31,Avery Bradley,BOS,1.0,3.0,16.7,1.0,3.0,1.0,3.0,33.3,33.3,33.3,0.0,33.3,33.3,33.3,0.0,2015-16,ball-handler
32,Jordan Farmar,MEM,4.0,3.8,35.7,0.73,2.8,1.0,2.3,44.4,50.0,6.7,33.3,6.7,0.0,33.3,31.1,2015-16,ball-handler
33,Deron Williams,DAL,3.0,2.0,24.0,1.33,2.7,1.0,1.3,75.0,100.0,0.0,33.3,0.0,0.0,50.0,0.0,2015-16,ball-handler
34,Wesley Matthews,DAL,5.0,2.4,16.7,1.08,2.6,0.8,2.0,40.0,45.0,16.7,0.0,16.7,0.0,50.0,90.2,2015-16,ball-handler
35,Marcus Smart,BOS,6.0,2.2,15.3,1.15,2.5,0.7,1.8,36.4,45.5,23.1,0.0,15.4,7.7,46.2,98.4,2015-16,ball-handler
36,Kent Bazemore,ATL,10.0,2.7,19.1,0.89,2.4,0.8,2.2,36.4,38.6,14.8,3.7,11.1,0.0,44.4,59.0,2015-16,ball-handler
37,Devin Harris,DAL,5.0,2.0,27.0,1.1,2.2,0.8,1.0,80.0,80.0,30.0,20.0,30.0,0.0,60.0,93.3,2015-16,ball-handler
38,Nicolas Batum,CHA,5.0,3.4,27.9,0.65,2.2,0.8,3.0,26.7,33.3,5.9,5.9,5.9,0.0,29.4,18.0,2015-16,ball-handler
39,Joe Johnson,MIA,14.0,3.1,23.0,0.67,2.1,1.0,2.6,38.9,38.9,2.3,16.3,2.3,2.3,32.6,21.3,2015-16,ball-handler
40,Dion Waiters,OKC,18.0,2.6,28.5,0.81,2.1,0.7,1.7,41.9,45.2,19.1,17.0,19.1,4.3,38.3,41.0,2015-16,ball-handler
41,Andrew Goudelock,HOU,2.0,1.5,33.3,1.33,2.0,1.0,1.5,66.7,66.7,0.0,0.0,0.0,0.0,66.7,0.0,2015-16,ball-handler
42,George Hill,IND,7.0,2.3,21.3,0.88,2.0,0.9,1.6,54.5,59.1,6.3,25.0,12.5,6.3,37.5,54.1,2015-16,ball-handler
43,Patty Mills,SAS,10.0,1.8,27.3,1.06,1.9,0.6,1.2,50.0,62.5,16.7,16.7,5.6,0.0,50.0,86.9,2015-16,ball-handler
44,Courtney Lee,CHA,7.0,2.1,23.8,0.87,1.9,0.7,2.0,35.7,39.3,6.7,0.0,6.7,0.0,40.0,49.2,2015-16,ball-handler
45,Vince Carter,MEM,4.0,1.8,17.9,1.0,1.8,0.3,1.0,25.0,37.5,28.6,14.3,14.3,0.0,42.9,0.0,2015-16,ball-handler
46,Jeff Green,LAC,6.0,1.3,12.9,1.25,1.7,0.7,1.0,66.7,66.7,37.5,0.0,37.5,12.5,62.5,0.0,2015-16,ball-handler
47,Patrick Beverley,HOU,5.0,2.2,25.0,0.73,1.6,0.8,2.2,36.4,36.4,0.0,0.0,0.0,0.0,36.4,29.5,2015-16,ball-handler
48,Evan Turner,BOS,6.0,3.8,20.9,0.39,1.5,0.7,2.8,23.5,23.5,4.3,26.1,4.3,4.3,17.4,1.6,2015-16,ball-handler
49,Gerald Henderson,POR,11.0,1.5,18.7,0.94,1.5,0.6,1.5,43.8,43.8,5.9,0.0,5.9,0.0,47.1,76.3,2015-16,ball-handler
