,PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE,Year,Playtype
0,LaMarcus Aldridge,SAS,10.0,4.0,20.1,1.35,5.4,2.4,3.6,66.7,66.7,10.0,2.5,10.0,2.5,67.5,87.2,2015-16,roll-man
1,Hassan Whiteside,MIA,10.0,4.0,36.0,1.39,5.0,2.0,2.8,71.4,71.4,22.0,2.8,19.0,2.8,72.2,89.7,2015-16,roll-man
2,Al Horford,ATL,10.0,3.0,24.3,1.29,4.4,1.7,3.1,54.8,61.3,9.0,0.0,6.0,0.0,58.8,82.1,2015-16,roll-man
3,Jonas Valanciunas,TOR,12.0,3.0,25.8,1.23,4.1,1.8,2.8,66.7,66.7,15.0,5.0,12.0,2.5,62.5,79.5,2015-16,roll-man
4,Cody Zeller,CHA,7.0,4.0,46.4,1.12,4.1,1.6,2.9,55.0,55.0,19.0,3.8,19.0,0.0,57.7,71.8,2015-16,roll-man
5,Blake Griffin,LAC,4.0,3.0,18.1,1.15,3.8,1.3,2.3,55.6,61.1,15.0,7.7,15.0,0.0,53.8,74.4,2015-16,roll-man
6,Dirk Nowitzki,DAL,5.0,3.0,17.5,1.0,3.4,1.6,3.2,50.0,50.0,6.0,5.9,6.0,5.9,47.1,60.5,2015-16,roll-man
7,Paul Millsap,ATL,10.0,3.0,17.1,1.03,3.3,1.2,2.7,44.4,51.9,12.0,9.4,12.0,6.3,43.8,64.1,2015-16,roll-man
8,Myles Turner,IND,7.0,4.0,31.0,0.82,3.1,1.6,3.3,47.8,47.8,4.0,11.1,4.0,0.0,40.7,30.8,2015-16,roll-man
9,Andre Drummond,DET,4.0,3.0,18.8,0.92,3.0,1.5,3.0,50.0,50.0,15.0,0.0,15.0,7.7,46.2,48.7,2015-16,roll-man
10,Kris Humphries,ATL,4.0,2.0,18.2,2.0,3.0,0.8,1.0,75.0,100.0,33.0,0.0,33.0,0.0,83.3,0.0,2015-16,roll-man
11,Al Jefferson,CHA,7.0,3.0,22.1,0.86,2.6,1.3,2.9,45.0,45.0,0.0,4.8,0.0,0.0,42.9,33.3,2015-16,roll-man
12,Steven Adams,OKC,18.0,2.0,25.2,1.1,2.5,1.1,1.9,58.8,58.8,15.0,7.3,12.0,4.9,56.1,69.2,2015-16,roll-man
13,Frank Kaminsky,CHA,7.0,1.0,17.2,1.6,2.3,0.6,1.1,50.0,75.0,20.0,0.0,20.0,0.0,60.0,100.0,2015-16,roll-man
14,Bismack Biyombo,TOR,20.0,1.0,22.8,1.54,2.1,0.8,1.1,73.9,73.9,25.0,0.0,29.0,10.7,75.0,94.9,2015-16,roll-man
15,Serge Ibaka,OKC,18.0,2.0,21.7,0.95,2.1,0.9,2.1,45.9,45.9,8.0,2.6,8.0,5.1,46.2,53.8,2015-16,roll-man
16,Kevin Love,CLE,20.0,2.0,14.9,0.96,2.1,0.7,1.9,36.8,48.7,7.0,8.9,7.0,0.0,37.8,56.4,2015-16,roll-man
17,Amir Johnson,BOS,6.0,2.0,21.3,1.2,2.0,0.8,1.3,62.5,62.5,10.0,10.0,10.0,0.0,60.0,76.9,2015-16,roll-man
18,Tyler Zeller,BOS,3.0,1.0,20.0,1.5,2.0,1.0,1.3,75.0,75.0,0.0,0.0,0.0,0.0,75.0,0.0,2015-16,roll-man
19,Zach Randolph,MEM,4.0,3.0,15.1,0.73,2.0,1.0,2.3,44.4,44.4,0.0,18.2,0.0,0.0,36.4,12.8,2015-16,roll-man
20,Marcus Morris Sr.,DET,4.0,2.0,15.9,0.8,2.0,0.8,2.0,37.5,37.5,10.0,10.0,10.0,0.0,40.0,23.1,2015-16,roll-man
21,Dwight Powell,DAL,4.0,2.0,24.0,1.33,2.0,0.5,0.8,66.7,66.7,50.0,16.7,50.0,16.7,66.7,0.0,2015-16,roll-man
22,Luol Deng,MIA,14.0,2.0,16.3,0.93,1.9,0.7,1.7,41.7,50.0,7.0,10.3,7.0,0.0,41.4,51.3,2015-16,roll-man
23,LeBron James,CLE,21.0,1.0,5.1,1.43,1.9,0.7,1.1,62.5,70.8,18.0,3.6,18.0,7.1,64.3,92.3,2015-16,roll-man
24,Ian Mahinmi,IND,7.0,2.0,23.5,0.81,1.9,0.6,1.3,44.4,44.4,25.0,18.8,12.0,0.0,43.8,26.3,2015-16,roll-man
25,DeAndre Jordan,LAC,6.0,1.0,8.6,1.67,1.7,0.8,0.8,100.0,100.0,17.0,0.0,17.0,0.0,83.3,0.0,2015-16,roll-man
26,Enes Freedom,OKC,18.0,1.0,14.6,1.35,1.7,0.7,1.0,72.2,72.2,17.0,17.4,17.0,13.0,60.9,84.6,2015-16,roll-man
27,Tim Duncan,SAS,10.0,2.0,32.4,0.74,1.7,0.6,1.8,33.3,33.3,22.0,4.3,22.0,4.3,43.5,15.4,2015-16,roll-man
28,Dwight Howard,HOU,5.0,2.0,11.4,0.89,1.6,0.8,1.6,50.0,50.0,11.0,0.0,11.0,0.0,44.4,0.0,2015-16,roll-man
29,Mason Plumlee,POR,11.0,2.0,23.2,0.69,1.6,0.6,1.6,38.9,38.9,15.0,15.4,15.0,0.0,38.5,10.3,2015-16,roll-man
30,Cole Aldrich,LAC,6.0,1.0,30.0,1.5,1.5,0.7,1.0,66.7,66.7,17.0,0.0,17.0,16.7,66.7,0.0,2015-16,roll-man
31,Patrick Patterson,TOR,20.0,2.0,19.5,0.91,1.4,0.6,1.5,36.7,46.7,3.0,6.3,3.0,3.1,34.4,41.0,2015-16,roll-man
32,Marreese Speights,GSW,24.0,1.0,18.3,1.07,1.3,0.5,1.1,44.4,55.6,0.0,3.6,0.0,0.0,42.9,66.7,2015-16,roll-man
33,David West,SAS,10.0,2.0,24.2,0.81,1.3,0.6,1.5,40.0,40.0,6.0,0.0,6.0,0.0,43.8,26.3,2015-16,roll-man
34,Donatas Motiejunas,HOU,5.0,1.0,12.3,0.86,1.2,0.4,1.0,40.0,40.0,14.0,14.3,0.0,0.0,42.9,0.0,2015-16,roll-man
35,Jonas Jerebko,BOS,6.0,1.0,9.4,1.4,1.2,0.5,0.8,60.0,70.0,0.0,0.0,0.0,0.0,60.0,0.0,2015-16,roll-man
36,David Lee,DAL,2.0,0.0,12.5,2.0,1.0,0.5,0.5,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,2015-16,roll-man
37,Chris Kaman,POR,4.0,2.0,25.0,0.67,1.0,0.5,1.5,33.3,33.3,0.0,0.0,0.0,0.0,33.3,0.0,2015-16,roll-man
38,Tobias Harris,DET,4.0,1.0,5.2,1.33,1.0,0.5,0.8,66.7,66.7,0.0,0.0,0.0,0.0,66.7,0.0,2015-16,roll-man
39,Festus Ezeli,GSW,23.0,1.0,28.4,0.79,1.0,0.4,0.9,47.6,47.6,17.0,10.3,10.0,0.0,41.4,20.5,2015-16,roll-man
40,Chris Andersen,MEM,4.0,1.0,14.3,1.33,1.0,0.0,0.3,0.0,0.0,67.0,0.0,67.0,0.0,66.7,0.0,2015-16,roll-man
41,Zaza Pachulia,DAL,5.0,1.0,20.0,0.71,1.0,0.4,1.2,33.3,33.3,14.0,0.0,14.0,0.0,42.9,0.0,2015-16,roll-man
42,Ed Davis,POR,11.0,1.0,18.5,0.92,1.0,0.4,0.8,44.4,44.4,17.0,8.3,17.0,0.0,50.0,46.2,2015-16,roll-man
43,Dorell Wright,MIA,5.0,0.0,16.7,2.5,1.0,0.2,0.2,100.0,150.0,50.0,0.0,50.0,0.0,100.0,0.0,2015-16,roll-man
44,Jeff Green,LAC,6.0,1.0,11.3,0.86,1.0,0.2,0.7,25.0,25.0,29.0,14.3,29.0,0.0,42.9,0.0,2015-16,roll-man
45,Amar'e Stoudemire,MIA,9.0,1.0,29.0,0.89,0.9,0.3,0.7,50.0,50.0,11.0,22.2,11.0,0.0,44.4,0.0,2015-16,roll-man
46,Channing Frye,CLE,17.0,1.0,13.0,1.6,0.9,0.4,0.5,66.7,83.3,10.0,0.0,10.0,0.0,70.0,100.0,2015-16,roll-man
47,Udonis Haslem,MIA,9.0,1.0,28.0,1.14,0.9,0.3,0.7,50.0,50.0,14.0,0.0,0.0,0.0,57.1,0.0,2015-16,roll-man
48,James Harden,HOU,5.0,0.0,1.4,2.0,0.8,0.4,0.4,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,2015-16,roll-man
49,Spencer Hawes,CHA,5.0,1.0,15.0,1.33,0.8,0.2,0.4,50.0,50.0,33.0,0.0,33.0,0.0,66.7,0.0,2015-16,roll-man
50,Michael Beasley,HOU,5.0,1.0,7.1,1.0,0.8,0.2,0.6,33.3,33.3,25.0,0.0,25.0,0.0,50.0,0.0,2015-16,roll-man
51,Justise Winslow,MIA,13.0,1.0,14.0,0.79,0.8,0.3,0.8,36.4,36.4,21.0,7.1,21.0,7.1,42.9,17.9,2015-16,roll-man
52,Lucas Nogueira,TOR,5.0,0.0,50.0,2.0,0.8,0.4,0.4,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,2015-16,roll-man
53,Klay Thompson,GSW,24.0,1.0,4.1,0.86,0.8,0.3,0.9,28.6,40.5,5.0,0.0,5.0,0.0,31.8,35.9,2015-16,roll-man
54,Jared Sullinger,BOS,6.0,2.0,22.0,0.46,0.8,0.3,1.7,20.0,20.0,9.0,0.0,9.0,0.0,27.3,2.6,2015-16,roll-man
55,Jae Crowder,BOS,6.0,1.0,7.1,0.67,0.7,0.3,1.0,33.3,33.3,0.0,0.0,0.0,0.0,33.3,0.0,2015-16,roll-man
56,Kevin Durant,OKC,18.0,1.0,4.3,0.52,0.7,0.2,0.9,23.5,23.5,9.0,17.4,9.0,0.0,26.1,5.1,2015-16,roll-man
57,Tristan Thompson,CLE,21.0,1.0,12.2,0.88,0.7,0.3,0.6,46.2,46.2,18.0,5.9,12.0,0.0,47.1,38.5,2015-16,roll-man
58,Draymond Green,GSW,23.0,1.0,4.5,1.0,0.7,0.3,0.6,42.9,53.6,6.0,11.8,6.0,0.0,41.2,60.5,2015-16,roll-man
59,Josh McRoberts,MIA,10.0,1.0,14.6,1.0,0.6,0.3,0.6,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,2015-16,roll-man
60,Solomon Hill,IND,7.0,0.0,4.8,2.0,0.6,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,2015-16,roll-man
61,Al-Farouq Aminu,POR,11.0,1.0,7.9,0.39,0.5,0.2,1.1,16.7,16.7,8.0,0.0,8.0,0.0,23.1,0.0,2015-16,roll-man
62,JaMychal Green,MEM,4.0,0.0,6.9,1.0,0.5,0.3,0.5,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,2015-16,roll-man
63,Matt Barnes,MEM,4.0,0.0,1.6,2.0,0.5,0.3,0.3,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,2015-16,roll-man
64,Luis Scola,TOR,11.0,1.0,24.4,0.6,0.5,0.1,0.5,16.7,25.0,20.0,20.0,20.0,0.0,30.0,7.7,2015-16,roll-man
65,Kelly Olynyk,BOS,4.0,1.0,30.8,0.5,0.5,0.3,1.0,25.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,2015-16,roll-man
66,Andrew Bogut,GSW,22.0,0.0,10.7,0.91,0.5,0.2,0.3,71.4,71.4,0.0,36.4,0.0,0.0,45.5,43.6,2015-16,roll-man
67,Boban Marjanovic,SAS,7.0,0.0,5.3,3.0,0.4,0.1,0.1,100.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,2015-16,roll-man
68,Mike Scott,ATL,10.0,0.0,10.0,0.8,0.4,0.1,0.4,25.0,25.0,20.0,0.0,20.0,0.0,40.0,0.0,2015-16,roll-man
69,Nazr Mohammed,OKC,5.0,0.0,33.3,2.0,0.4,0.2,0.2,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,2015-16,roll-man
70,Anderson Varejao,GSW,17.0,0.0,20.0,1.2,0.4,0.1,0.2,66.7,66.7,20.0,20.0,20.0,0.0,60.0,0.0,2015-16,roll-man
71,Lavoy Allen,IND,6.0,0.0,18.2,1.0,0.3,0.2,0.3,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,2015-16,roll-man
72,Paul George,IND,7.0,0.0,0.6,2.0,0.3,0.1,0.1,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,2015-16,roll-man
73,Marvin Williams,CHA,7.0,1.0,16.4,0.22,0.3,0.1,1.1,12.5,12.5,0.0,11.1,0.0,0.0,11.1,0.0,2015-16,roll-man
74,Salah Mejri,DAL,4.0,0.0,6.3,1.0,0.3,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,2015-16,roll-man
75,Allen Crabbe,POR,11.0,0.0,2.3,1.5,0.3,0.1,0.2,50.0,75.0,0.0,0.0,0.0,0.0,50.0,0.0,2015-16,roll-man
76,JR Smith,CLE,21.0,0.0,2.9,1.0,0.3,0.1,0.3,33.3,50.0,0.0,0.0,0.0,0.0,33.3,0.0,2015-16,roll-man
77,Joe Johnson,MIA,14.0,0.0,3.2,0.67,0.3,0.1,0.4,40.0,40.0,0.0,16.7,0.0,0.0,33.3,0.0,2015-16,roll-man
78,Kyle Lowry,TOR,20.0,0.0,1.4,1.0,0.3,0.1,0.3,33.3,50.0,0.0,0.0,0.0,0.0,33.3,0.0,2015-16,roll-man
79,Andre Roberson,OKC,18.0,0.0,4.8,1.0,0.3,0.1,0.3,40.0,50.0,0.0,0.0,0.0,0.0,40.0,0.0,2015-16,roll-man
80,Timofey Mozgov,CLE,13.0,0.0,16.0,0.5,0.2,0.0,0.2,0.0,0.0,25.0,0.0,25.0,0.0,25.0,0.0,2015-16,roll-man
81,Norman Powell,TOR,18.0,0.0,1.3,3.0,0.2,0.1,0.1,100.0,150.0,0.0,0.0,0.0,0.0,100.0,0.0,2015-16,roll-man
82,Stephen Curry,GSW,18.0,0.0,0.2,3.0,0.2,0.1,0.1,100.0,150.0,0.0,0.0,0.0,0.0,100.0,0.0,2015-16,roll-man
83,Mike Muscala,ATL,9.0,1.0,20.8,0.4,0.2,0.1,0.4,25.0,25.0,0.0,20.0,0.0,0.0,20.0,0.0,2015-16,roll-man
84,DeMar DeRozan,TOR,20.0,0.0,0.8,1.0,0.2,0.1,0.2,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,2015-16,roll-man
85,Richard Jefferson,CLE,21.0,0.0,2.8,1.33,0.2,0.1,0.1,66.7,66.7,0.0,0.0,0.0,0.0,66.7,0.0,2015-16,roll-man
86,James Johnson,TOR,10.0,0.0,6.3,1.0,0.2,0.1,0.2,50.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0,2015-16,roll-man
87,Nick Collison,OKC,9.0,0.0,25.0,1.0,0.2,0.1,0.1,100.0,100.0,0.0,50.0,0.0,0.0,50.0,0.0,2015-16,roll-man
88,Iman Shumpert,CLE,21.0,0.0,3.8,1.33,0.2,0.1,0.1,66.7,66.7,0.0,0.0,0.0,0.0,66.7,0.0,2015-16,roll-man
89,Boris Diaw,SAS,9.0,0.0,5.6,0.67,0.2,0.1,0.2,50.0,50.0,0.0,33.3,0.0,0.0,33.3,0.0,2015-16,roll-man
90,DeMarre Carroll,TOR,20.0,0.0,2.1,0.5,0.1,0.1,0.2,33.3,33.3,0.0,25.0,0.0,0.0,25.0,0.0,2015-16,roll-man
91,Kyrie Irving,CLE,21.0,0.0,0.6,0.67,0.1,0.0,0.1,33.3,33.3,0.0,0.0,0.0,0.0,33.3,0.0,2015-16,roll-man
92,Leandro Barbosa,GSW,23.0,0.0,0.9,2.0,0.1,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,2015-16,roll-man
93,Shaun Livingston,GSW,24.0,0.0,0.5,2.0,0.1,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,2015-16,roll-man
94,Goran Dragic,MIA,14.0,0.0,0.4,2.0,0.1,0.1,0.1,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,2015-16,roll-man
95,Ian Clark,GSW,16.0,0.0,1.5,2.0,0.1,0.1,0.1,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,2015-16,roll-man
96,Harrison Barnes,GSW,24.0,0.0,2.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16,roll-man
97,Marcus Smart,BOS,6.0,0.0,1.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16,roll-man
98,Aron Baynes,DET,4.0,1.0,30.8,0.0,0.0,0.0,0.5,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2015-16,roll-man
99,Gerald Green,MIA,12.0,0.0,5.8,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16,roll-man
100,Maurice Harkless,POR,11.0,0.0,2.3,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16,roll-man
101,Corey Brewer,HOU,5.0,0.0,5.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16,roll-man
102,Paul Pierce,LAC,5.0,0.0,12.5,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16,roll-man
103,CJ McCollum,POR,11.0,0.0,0.8,0.0,0.0,0.0,0.1,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,2015-16,roll-man
104,Jason Thompson,TOR,10.0,0.0,18.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16,roll-man
105,Josh Richardson,MIA,14.0,0.0,1.9,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16,roll-man
106,Jordan Mickey,BOS,2.0,0.0,25.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16,roll-man
107,Noah Vonleh,POR,6.0,0.0,33.3,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015-16,roll-man
