,PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE,Year,Playtype
0,Anthony Davis,NOP,61.0,5.8,24.7,1.06,6.1,2.4,4.9,50.3,52.2,13.4,4.5,13.1,2.0,52.0,63.0,2015-16,roll-man
1,Chris Bosh,MIA,53.0,4.4,24.4,1.11,4.9,1.7,3.7,46.7,54.1,15.3,5.1,14.9,3.4,50.6,73.1,2015-16,roll-man
2,Marc Gasol,MEM,52.0,4.0,22.1,1.09,4.3,1.8,3.4,53.7,53.7,11.6,6.8,9.2,2.9,53.6,68.9,2015-16,roll-man
3,Brook Lopez,BKN,73.0,4.4,21.2,0.99,4.3,1.9,3.8,49.1,49.1,10.7,6.3,10.7,3.8,48.9,46.6,2015-16,roll-man
4,Karl-Anthony Towns,MIN,82.0,4.4,24.8,0.95,4.2,1.8,3.7,47.7,48.5,9.8,8.7,9.2,3.4,46.6,37.0,2015-16,roll-man
5,DeMarcus Cousins,SAC,65.0,4.3,14.8,0.98,4.2,1.6,3.3,46.5,48.6,16.9,8.3,16.5,3.2,48.9,45.2,2015-16,roll-man
6,Al Horford,ATL,82.0,3.7,24.7,1.13,4.1,1.8,3.4,54.2,57.1,6.3,4.0,6.0,1.7,53.8,78.5,2015-16,roll-man
7,Blake Griffin,LAC,35.0,4.7,21.0,0.88,4.1,1.9,4.2,44.6,44.9,6.7,4.3,4.9,1.8,45.4,24.7,2015-16,roll-man
8,Derrick Favors,UTA,62.0,3.6,22.1,1.11,4.0,1.6,3.0,54.9,54.9,16.4,6.6,14.2,4.4,55.3,72.6,2015-16,roll-man
9,Pau Gasol,CHI,72.0,3.8,21.2,0.99,3.8,1.6,3.2,49.4,49.8,10.6,6.2,8.1,1.5,50.9,47.5,2015-16,roll-man
10,Marcin Gortat,WAS,75.0,3.0,23.1,1.21,3.7,1.6,2.6,61.5,61.5,12.8,5.3,12.4,4.4,60.2,86.3,2015-16,roll-man
11,Hassan Whiteside,MIA,73.0,2.7,20.8,1.34,3.7,1.5,2.2,70.0,70.0,17.6,6.5,16.6,5.0,67.3,94.1,2015-16,roll-man
12,Serge Ibaka,OKC,78.0,3.6,26.9,0.96,3.4,1.6,3.1,49.4,49.4,5.8,6.9,5.4,1.1,48.0,39.7,2015-16,roll-man
13,Dirk Nowitzki,DAL,75.0,3.3,18.6,1.03,3.4,1.3,2.9,43.4,52.0,5.3,4.9,4.9,0.8,43.9,56.4,2015-16,roll-man
14,DeAndre Jordan,LAC,77.0,2.4,20.3,1.4,3.3,1.4,1.7,82.1,82.1,26.0,6.1,24.9,6.1,74.6,97.3,2015-16,roll-man
15,Nikola Vucevic,ORL,65.0,3.5,18.4,0.93,3.2,1.5,3.1,49.5,49.5,4.4,9.3,4.4,2.2,46.0,33.3,2015-16,roll-man
16,LaMarcus Aldridge,SAS,74.0,3.5,20.2,0.9,3.1,1.4,3.0,45.2,45.2,8.9,6.6,9.3,1.6,45.7,28.3,2015-16,roll-man
17,Jason Smith,ORL,76.0,3.1,40.4,1.0,3.1,1.5,2.9,51.1,51.1,2.9,4.2,2.9,0.0,50.4,53.4,2015-16,roll-man
