,PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE,Year,Playtype
0,Al-Farouq Aminu,POR,11.0,7.1,47.3,1.14,8.1,2.8,6.2,45.6,64.0,2.6,10.3,3.8,1.3,41.0,71.4,2015-16,spot-up
1,Tobias Harris,DET,4.0,6.0,41.4,1.04,6.3,2.3,4.8,47.4,52.6,12.5,12.5,12.5,4.2,45.8,61.9,2015-16,spot-up
2,Kevin Love,CLE,20.0,4.7,31.1,1.18,5.5,1.7,4.3,40.7,57.6,8.5,2.1,7.4,2.1,42.6,77.6,2015-16,spot-up
3,Kentavious Caldwell-Pope,DET,4.0,3.8,27.3,1.4,5.3,1.8,3.8,46.7,70.0,0.0,0.0,0.0,0.0,46.7,87.8,2015-16,spot-up
4,Luol Deng,MIA,14.0,4.6,36.5,1.12,5.2,1.9,3.9,48.1,60.2,7.7,12.3,7.7,3.1,44.6,70.4,2015-16,spot-up
5,JR Smith,CLE,21.0,3.8,38.5,1.34,5.1,1.7,3.8,45.0,66.3,1.3,0.0,1.3,1.3,45.0,86.7,2015-16,spot-up
6,Kawhi Leonard,SAS,10.0,4.2,20.6,1.19,5.0,1.7,3.9,43.6,57.7,7.1,2.4,4.8,2.4,45.2,79.6,2015-16,spot-up
7,Wesley Matthews,DAL,5.0,5.2,36.1,0.96,5.0,1.4,4.4,31.8,45.5,11.5,3.8,11.5,0.0,38.5,48.0,2015-16,spot-up
8,Evan Turner,BOS,6.0,5.0,27.3,1.0,5.0,2.0,4.3,46.2,51.9,10.0,3.3,10.0,0.0,46.7,54.8,2015-16,spot-up
9,Isaiah Thomas,BOS,6.0,4.8,19.2,1.03,5.0,1.5,4.0,37.5,47.9,17.2,3.4,13.8,3.4,44.8,59.2,2015-16,spot-up
10,George Hill,IND,7.0,3.0,28.0,1.67,5.0,1.7,2.9,60.0,82.5,4.8,0.0,4.8,0.0,61.9,98.0,2015-16,spot-up
11,Avery Bradley,BOS,1.0,4.0,22.2,1.25,5.0,2.0,4.0,50.0,62.5,0.0,0.0,0.0,0.0,50.0,0.0,2015-16,spot-up
12,Serge Ibaka,OKC,18.0,3.9,39.4,1.18,4.7,1.7,3.9,42.3,59.2,0.0,0.0,0.0,0.0,42.3,78.6,2015-16,spot-up
13,Jae Crowder,BOS,6.0,6.8,48.8,0.68,4.7,1.3,5.7,23.5,33.8,9.8,7.3,9.8,0.0,26.8,16.3,2015-16,spot-up
14,Marcus Smart,BOS,6.0,4.2,29.4,1.12,4.7,1.5,3.5,42.9,61.9,4.0,12.0,4.0,0.0,40.0,69.4,2015-16,spot-up
15,Stanley Johnson,DET,4.0,2.5,37.0,1.7,4.3,1.5,2.5,60.0,85.0,0.0,0.0,0.0,0.0,60.0,99.0,2015-16,spot-up
16,Jonas Jerebko,BOS,6.0,4.0,45.3,1.04,4.2,1.5,4.0,37.5,50.0,4.2,0.0,4.2,4.2,37.5,61.9,2015-16,spot-up
17,Draymond Green,GSW,23.0,4.0,24.3,1.04,4.2,1.4,3.7,38.8,52.9,5.4,3.2,6.5,1.1,39.8,63.3,2015-16,spot-up
18,Josh Richardson,MIA,14.0,4.3,56.1,0.97,4.1,1.5,4.1,36.8,48.2,3.3,1.7,3.3,0.0,36.7,49.0,2015-16,spot-up
19,Paul George,IND,7.0,2.7,10.8,1.53,4.1,1.4,2.1,66.7,90.0,5.3,15.8,5.3,0.0,57.9,92.9,2015-16,spot-up
20,Klay Thompson,GSW,24.0,3.1,13.9,1.29,4.0,1.4,2.9,49.3,66.7,4.0,5.3,4.0,1.3,48.0,83.7,2015-16,spot-up
21,Maurice Harkless,POR,11.0,4.5,36.8,0.88,3.9,1.5,4.3,34.0,45.7,0.0,4.1,0.0,0.0,32.7,38.8,2015-16,spot-up
22,Joe Johnson,MIA,14.0,3.4,25.1,1.15,3.9,1.4,3.3,43.5,56.5,2.1,0.0,2.1,0.0,44.7,73.5,2015-16,spot-up
23,Goran Dragic,MIA,14.0,3.9,21.1,0.98,3.8,1.5,3.5,42.9,51.0,3.7,7.4,3.7,1.9,40.7,51.0,2015-16,spot-up
24,Marcus Morris Sr.,DET,4.0,4.8,30.2,0.79,3.8,1.0,3.8,26.7,33.3,15.8,5.3,15.8,0.0,36.8,27.6,2015-16,spot-up
25,Solomon Hill,IND,7.0,2.6,42.9,1.44,3.7,1.0,2.1,46.7,70.0,16.7,0.0,16.7,0.0,55.6,90.8,2015-16,spot-up
26,Allen Crabbe,POR,11.0,2.6,33.3,1.28,3.4,1.1,2.4,46.2,61.5,6.9,3.4,6.9,0.0,48.3,82.7,2015-16,spot-up
27,Channing Frye,CLE,17.0,2.2,48.1,1.54,3.4,1.1,2.1,52.8,75.0,2.7,0.0,2.7,0.0,54.1,93.9,2015-16,spot-up
28,CJ McCollum,POR,11.0,2.0,9.2,1.59,3.2,1.1,1.9,57.1,78.6,4.5,0.0,4.5,0.0,59.1,95.9,2015-16,spot-up
29,Dirk Nowitzki,DAL,5.0,3.2,16.5,1.0,3.2,1.2,3.2,37.5,50.0,0.0,0.0,0.0,0.0,37.5,54.8,2015-16,spot-up
30,James Harden,HOU,5.0,3.0,10.4,1.07,3.2,1.2,2.4,50.0,66.7,0.0,20.0,0.0,0.0,40.0,64.3,2015-16,spot-up
31,Dion Waiters,OKC,18.0,2.8,30.9,1.08,3.1,1.1,2.8,40.0,55.0,0.0,2.0,0.0,0.0,39.2,66.3,2015-16,spot-up
32,Stephen Curry,GSW,18.0,2.8,11.3,1.1,3.1,0.9,2.3,38.1,51.2,12.0,8.0,12.0,4.0,40.0,67.3,2015-16,spot-up
33,DeMarre Carroll,TOR,20.0,4.1,42.3,0.73,3.0,1.0,3.6,26.4,36.8,6.1,6.1,6.1,0.0,28.0,22.4,2015-16,spot-up
