,PLAYER,TEAM,GP,POSS,FREQ,PPP,PTS,FGM,FGA,FG%,EFG%,FT FREQ,TOV FREQ,SF FREQ,AND ONE FREQ,SCORE FREQ,PERCENTILE,Year,Playtype
0,Kevin Durant,OKC,18.0,4.6,15.7,1.41,6.5,2.0,2.9,69.2,78.8,25.3,15.7,24.1,3.6,65.1,85.3,2015-16,transition
1,LeBron James,CLE,21.0,5.1,19.8,1.16,6.0,2.3,3.4,66.7,68.8,20.4,17.6,18.5,4.6,58.3,54.7,2015-16,transition
2,Paul George,IND,7.0,5.0,19.9,1.2,6.0,1.7,3.3,52.2,60.9,20.0,14.3,14.3,0.0,54.3,68.5,2015-16,transition
3,Russell Westbrook,OKC,18.0,5.6,18.7,1.04,5.8,1.9,3.3,56.7,58.3,21.0,19.0,20.0,2.0,53.0,42.7,2015-16,transition
4,Kyrie Irving,CLE,21.0,4.0,16.4,1.27,5.0,1.9,3.3,57.1,65.0,12.0,9.6,10.8,6.0,54.2,74.7,2015-16,transition
5,Klay Thompson,GSW,24.0,3.5,15.4,1.16,4.0,1.5,3.1,48.6,59.5,6.0,6.0,4.8,1.2,48.2,53.3,2015-16,transition
6,Monta Ellis,IND,7.0,3.6,25.5,1.12,4.0,1.6,2.6,61.1,66.7,12.0,20.0,8.0,4.0,52.0,49.3,2015-16,transition
7,Avery Bradley,BOS,1.0,3.0,16.7,1.33,4.0,2.0,2.0,100.0,100.0,0.0,33.3,0.0,0.0,66.7,0.0,2015-16,transition
8,Kawhi Leonard,SAS,10.0,3.5,17.2,1.14,4.0,1.3,2.5,52.0,58.0,17.1,11.4,17.1,0.0,54.3,52.0,2015-16,transition
9,Kemba Walker,CHA,7.0,3.3,12.7,1.17,3.9,1.1,2.7,42.1,47.4,21.7,0.0,21.7,4.3,52.2,58.7,2015-16,transition
10,Danny Green,SAS,10.0,2.1,28.8,1.86,3.9,1.4,2.0,70.0,95.0,4.8,0.0,4.8,0.0,71.4,98.7,2015-16,transition
11,Isaiah Thomas,BOS,6.0,4.5,17.9,0.82,3.7,1.2,3.3,35.0,42.5,14.8,18.5,14.8,7.4,33.3,17.3,2015-16,transition
12,Stephen Curry,GSW,18.0,3.6,14.5,1.03,3.7,1.4,2.7,52.1,61.5,7.8,18.8,6.3,1.6,45.3,41.3,2015-16,transition
13,Goran Dragic,MIA,14.0,3.6,19.9,0.96,3.5,1.3,2.8,46.2,46.2,17.6,9.8,17.6,3.9,49.0,36.0,2015-16,transition
14,Dwyane Wade,MIA,14.0,2.9,12.7,1.2,3.5,1.5,2.4,63.6,65.2,12.2,14.6,12.2,7.3,56.1,65.3,2015-16,transition
15,CJ McCollum,POR,11.0,3.3,15.1,1.06,3.5,1.3,2.7,46.7,51.7,13.9,5.6,13.9,2.8,50.0,45.9,2015-16,transition
16,Kentavious Caldwell-Pope,DET,4.0,3.0,21.8,1.17,3.5,1.5,2.5,60.0,65.0,8.3,8.3,8.3,0.0,58.3,56.8,2015-16,transition
17,Kyle Lowry,TOR,20.0,2.9,13.0,1.18,3.4,1.1,2.0,56.4,61.5,21.1,12.3,19.3,1.8,56.1,60.0,2015-16,transition
18,Reggie Jackson,DET,4.0,2.8,16.9,1.18,3.3,1.5,2.0,75.0,81.3,0.0,27.3,0.0,0.0,54.5,63.0,2015-16,transition
19,Damian Lillard,POR,11.0,2.5,8.8,1.33,3.3,1.1,2.1,52.2,69.6,7.4,7.4,3.7,0.0,51.9,82.7,2015-16,transition
